Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,00635,,00635,,00635,Kwame Nimako,4,African American Studies,112A,001,A,Letter Grade,A,Pol/Eco Dev 3rd Wld
13,00635,,00635,,00635,Kwame Nimako,3.7,African American Studies,112A,001,A,Letter Grade,A-,Pol/Eco Dev 3rd Wld
7,00635,,00635,,00635,Kwame Nimako,3.3,African American Studies,112A,001,B,Letter Grade,B+,Pol/Eco Dev 3rd Wld
9,00635,,00635,,00635,Kwame Nimako,3,African American Studies,112A,001,B,Letter Grade,B,Pol/Eco Dev 3rd Wld
7,00635,,00635,,00635,Kwame Nimako,2.7,African American Studies,112A,001,B,Letter Grade,B-,Pol/Eco Dev 3rd Wld
2,00635,,00635,,00635,Kwame Nimako,2.3,African American Studies,112A,001,C,Letter Grade,C+,Pol/Eco Dev 3rd Wld
1,00635,,00635,,00635,Kwame Nimako,2,African American Studies,112A,001,C,Letter Grade,C,Pol/Eco Dev 3rd Wld
2,00635,,00635,,00635,Kwame Nimako,1.7,African American Studies,112A,001,C,Letter Grade,C-,Pol/Eco Dev 3rd Wld
1,00635,,00635,,00635,Kwame Nimako,1.3,African American Studies,112A,001,D,Letter Grade,D+,Pol/Eco Dev 3rd Wld
1,00635,,00635,,00635,Kwame Nimako,0.7,African American Studies,112A,001,D,Letter Grade,D-,Pol/Eco Dev 3rd Wld
6,00637,,00637,,00637,Ula Taylor,3.7,African American Studies,116,001,A,Letter Grade,A-,Slavery And African
3,00637,,00637,,00637,Ula Taylor,3.3,African American Studies,116,001,B,Letter Grade,B+,Slavery And African
3,00637,,00637,,00637,Ula Taylor,2.7,African American Studies,116,001,B,Letter Grade,B-,Slavery And African
1,00637,,00637,,00637,Ula Taylor,2.3,African American Studies,116,001,C,Letter Grade,C+,Slavery And African
1,00637,,00637,,00637,Ula Taylor,2,African American Studies,116,001,C,Letter Grade,C,Slavery And African
2,00637,,00637,,00637,Ula Taylor,1.7,African American Studies,116,001,C,Letter Grade,C-,Slavery And African
4,00637,,00637,,00637,Ula Taylor,0,African American Studies,116,001,F,Letter Grade,F,Slavery And African
2,00644,,00644,,00644,James Taylor,4,African American Studies,121,001,A,Letter Grade,A,"Blk Pol Life, U S"
2,00644,,00644,,00644,James Taylor,3.7,African American Studies,121,001,A,Letter Grade,A-,"Blk Pol Life, U S"
3,00644,,00644,,00644,James Taylor,3.3,African American Studies,121,001,B,Letter Grade,B+,"Blk Pol Life, U S"
1,00644,,00644,,00644,James Taylor,0.7,African American Studies,121,001,D,Letter Grade,D-,"Blk Pol Life, U S"
12,00650,,00650,,00650,Michel Laguerre,4,African American Studies,131,001,A,Letter Grade,A,"Carib Soc, Cultures"
11,00650,,00650,,00650,Michel Laguerre,3.7,African American Studies,131,001,A,Letter Grade,A-,"Carib Soc, Cultures"
3,00650,,00650,,00650,Michel Laguerre,3.3,African American Studies,131,001,B,Letter Grade,B+,"Carib Soc, Cultures"
